myear,price,transmission,km,Color,Drive Type,Doors,Length,Width,Height,Wheel Base,brand,fuel
2016,370000.0,manual,69162.0,silver,fwd,5.0,3599.0,1495.0,1700.0,2400.0,maruti,cng
2015,365000.0,manual,45864.0,grey,fwd,5.0,3600.0,1600.0,1560.0,2425.0,maruti,cng
2015,421000.0,manual,81506.0,silver,fwd,4.0,3990.0,1680.0,1505.0,2405.0,honda,cng
2013,240000.0,manual,115893.0,silver,fwd,4.0,3595.0,1475.0,1700.0,2400.0,maruti,cng
2022,1175000.0,manual,18900.0,white,2wd,5.0,4395.0,1735.0,1690.0,2740.0,maruti,cng
2012,250000.0,manual,60000.0,white,fwd,5.0,3599.0,1495.0,1700.0,2400.0,maruti,cng
2010,145000.0,manual,67000.0,blue,2wd,5.0,3495.0,1475.0,1460.0,2360.0,maruti,cng
2017,465000.0,manual,58000.0,grey,fwd,5.0,3765.0,1660.0,1520.0,2425.0,hyundai,cng
2021,560000.0,manual,54097.0,silver,fwd,5.0,3655.0,1620.0,1675.0,2435.0,maruti,cng
2011,215000.0,manual,67000.0,silver,fwd,5.0,3599.0,1495.0,1700.0,2400.0,maruti,cng
2018,425000.0,manual,98083.0,silky silver,fwd,5.0,3695.0,1600.0,1560.0,2425.0,maruti,cng
2019,380000.0,manual,80000.0,white,fwd,5.0,3695.0,1600.0,1560.0,2425.0,maruti,cng
2017,795000.0,manual,39000.0,silver,fwd,5.0,4296.0,1695.0,1685.0,2740.0,maruti,cng
2014,350000.0,manual,34889.0,bakers chocolate,fwd,5.0,3599.0,1495.0,1700.0,2400.0,maruti,cng
2022,650000.0,manual,31758.0,silky silver,fwd,5.0,3655.0,1620.0,1675.0,2435.0,maruti,cng
2021,599000.0,manual,23000.0,white,fwd,5.0,3599.0,1495.0,1700.0,2400.0,maruti,cng
2014,425000.0,manual,60000.0,white,fwd,5.0,3765.0,1660.0,1520.0,2425.0,hyundai,cng
2016,317736.0,manual,43413.0,white,fwd,5.0,3599.0,1495.0,1700.0,2400.0,maruti,cng
2020,1000000.0,manual,60000.0,white,fwd,5.0,4395.0,1735.0,1690.0,2740.0,maruti,cng
2014,317400.0,manual,67720.0,cerulean blue,fwd,5.0,3600.0,1600.0,1560.0,2425.0,maruti,cng
2013,250000.0,manual,99821.0,silver,fwd,5.0,3599.0,1495.0,1700.0,2400.0,maruti,cng
2014,380000.0,manual,67477.0,grey,fwd,5.0,3599.0,1495.0,1700.0,2400.0,maruti,cng
2021,600000.0,manual,24158.0,silky silver,fwd,5.0,3655.0,1620.0,1675.0,2435.0,maruti,cng
2014,325000.0,manual,35000.0,white,fwd,5.0,3655.0,1620.0,1675.0,2435.0,maruti,cng
2021,600000.0,manual,37000.0,white,fwd,4.0,3995.0,1695.0,1555.0,2430.0,maruti,cng
2021,613000.0,manual,32530.0,brown,fwd,5.0,3655.0,1620.0,1675.0,2435.0,maruti,cng
2016,285000.0,manual,90300.0,grey,fwd,5.0,3655.0,1620.0,1675.0,2435.0,maruti,cng
